UNITID,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,CONTROL,LOCALE,CIP11ASSOC,CIP11BACHL,CIP52ASSOC,CIP52BACHL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,Additional_Expenses,Program_Offered,ENT_2YR_RANK,Total_Crime_Rank,Violent_Rank,Violent_Crime_Percentile,Total_Crime_Percentile,Branch,Address,Sector,Lat,Long,Url
117724,Los Angeles Trade Technical College,Los Angeles,CA,90015-4181,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,1,0,1,0,11030,1221,6161,,0.6366,,0.3701,0.5405,25600,27900,29000,30900,31400,22200,30200,28600,35700,4869,2,4,155,290,0.773333333,0.413333333,Los Angeles Trade Technical College,400 W. Washington Blvd.,"Public, 2-year",34.0326,-118.2691,www.lattc.edu
117946,Loyola Marymount University,Los Angeles,CA,90045-2659,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,1,0,1,55432,40265,40265,0.9144,,1,,0.0232,47700,52300,59700,60300,64400,45600,50200,60200,70900,15167,2,4,155,290,0.773333333,0.413333333,Westchester Campus,One LMU Drive,"Private nonprofit, 4-year or above",33.9706,-118.4157,www.lmu.edu
192864,Marymount Manhattan College,New York,NY,10021-4597,Middle States Commission on Higher Education,1,2,11,0,0,1,1,45323,26640,26640,0.6594,,0.625,,0.1195,31800,36800,38600,40500,42200,32300,30300,42500,41400,18683,2,7,70,105,0.28,0.186666667,Main Campus,221 E 71 Street,"Private nonprofit, 4-year or above",40.7691,-73.9597,www.mmm.edu
190114,Metropolitan College of New York,New York,NY,10013-1919,Middle States Commission on Higher Education,1,2,11,0,0,2,2,28391,17530,17530,0.5224,,0,,0.742,32600,36500,33700,40600,40300,32100,34000,38600,46200,10861,4,7,70,105,0.28,0.186666667,Main Campus,431 Canal Street,"Private nonprofit, 4-year or above",40.7235,-74.0071,www.mcny.edu
127565,Metropolitan State University of Denver,Denver,CO,80217-3362,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,11,0,2,0,2,14034,5744,17837,0.658,,0.4757,,0.4505,33200,36300,37700,40300,42100,30800,36000,37800,47300,-3803,4,6,2,216,0.576,5.33E-03,Main Campus,P.O. Box 173362,"Public, 4-year or above",39.7422,-105.0024,www.msudenver.edu/
119173,Mount St Mary's College,Los Angeles,CA,90049-1599,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,0,1,1,47905,33852,33852,0.7923,,0,,0.2301,52400,55900,57000,57100,57000,51300,64400,,,14053,2,4,155,290,0.773333333,0.413333333,,,,34.0821,-118.4805,www.msmc.la.edu
193900,New York University,New York,NY,10012-1091,Middle States Commission on Higher Education,1,2,11,1,2,1,2,60059,44848,44848,0.925,,0.6154,,0.0622,52000,59300,62800,70400,76500,48800,57400,65900,94300,15211,6,7,70,105,0.28,0.186666667,NYU Main Campus,70 WASHINGTON SQ SOUTH,"Private nonprofit, 4-year or above",40.7295,-73.9973,www.nyu.edu
119775,Newschool of Architecture and Design,San Diego,CA,92101,Accrediting Council for Independent Colleges and Schools | Western Association of Schools and Colleges Senior College and University Commission,1,3,11,0,0,0,1,43957,24536,24536,0.5,,,,0.464,31200,,43300,,47100,,,,,19421,1,10,88,189,0.504,0.234666667,NewSchool of Architecture and Design,1249 F ST,"Private for-profit, 4-year or above",32.7133,-117.1533,www.newschoolarch.edu
120254,Occidental College,Los Angeles,CA,90041-3392,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,1,0,0,60655,46652,46652,0.9302,,,,0.0042,37600,40800,44700,52700,54600,36100,39400,47700,63100,14003,1,4,155,290,0.773333333,0.413333333,Occidental College,1600 CAMPUS RD,"Private nonprofit, 4-year or above",34.1262,-118.2108,www.oxy.edu
194310,Pace University-New York,New York,NY,10038-1598,Middle States Commission on Higher Education,1,2,11,2,2,2,2,50625,38069,38069,0.7599,,0.7407,,0.1329,46700,51900,55600,61500,63300,46600,46900,59000,70400,12556,8,7,70,105,0.28,0.186666667,Pace University,1 PACE PLAZA,"Private nonprofit, 4-year or above",40.711,-74.0047,www.pace.edu
120838,Pacific States University,Los Angeles,CA,90010,Accrediting Council for Independent Colleges and Schools,1,2,11,0,1,0,1,32140,0,0,0,,,,0.5714,,,,,,,,,,0,2,4,155,290,0.773333333,0.413333333,Main Campus,3450 Wilshire Blvd Ste 500,"Private nonprofit, 4-year or above",34.0617,-118.2996,www.psuca.edu
121275,Platt College-San Diego,San Diego,CA,92115-3919,Accrediting Commission of Career Schools and Colleges,1,3,11,1,1,0,0,40468,23250,23250,,,,,0.6081,29100,33800,40700,39000,36100,,,34400,36800,17218,2,10,88,189,0.504,0.234666667,Main Campus,6250 EL CAJON BLVD,"Private for-profit, 4-year or above",32.7637,-117.0635,www.platt.edu
121309,Point Loma Nazarene University,San Diego,CA,92106-2899,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,1,0,1,43060,30356,30356,0.8933,,0,,0.0243,43200,44100,45700,49700,52300,43000,43500,47100,59000,12704,2,10,88,189,0.504,0.234666667,Point Loma Nazerene University Main Campus,3900 LOMALAND DR,"Private nonprofit, 4-year or above",32.7133,-117.2512,www.pointloma.edu
194611,Professional Business College,New York,NY,10013,Accrediting Council for Independent Colleges and Schools,1,2,11,0,0,1,0,29568,9805,9805,,0.4025,,,0.6075,18400,20200,21000,23500,23400,17300,20400,22600,25900,19763,1,7,70,105,0.28,0.186666667,Main Campus,408 Broadway,"Private nonprofit, 2-year",40.7161,-73.9952,www.pbcny.edu
127918,Regis University,Denver,CO,80221-1099,North Central Association of Colleges and Schools The Higher Learning Commission,1,2,11,0,2,0,2,43058,32424,32424,0.8186,,0.5,,0.6032,50500,52800,55400,56900,57200,47400,57700,51300,70600,10634,4,6,2,216,0.576,5.33E-03,Northwest Denver Campus,3333 REGIS BLVD,"Private nonprofit, 4-year or above",39.7898,-105.0314,www.regis.edu/
227757,Rice University,Houston,TX,77005-1827,Southern Association of Colleges and Schools Commission on Colleges,1,2,11,0,1,0,1,52242,38941,38941,0.9817,,,,0.0048,59000,66600,76800,75200,80200,48800,67700,70000,90000,13301,2,8,5,331,0.882666667,1.33E-02,Main Campus,6100 S MAIN,"Private nonprofit, 4-year or above",29.7165,-95.4036,www.rice.edu
122339,San Diego City College,San Diego,CA,92101-4787,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,1,0,1,0,12291,1142,5702,,0.6687,,0.3857,0.4563,24800,28600,29600,31100,32000,22300,28300,29700,35200,6589,2,10,88,189,0.504,0.234666667,Main Campus,1313 PARK BLVD,"Public, 2-year",32.7189,-117.1516,www.sdcity.edu/
122375,San Diego Mesa College,San Diego,CA,92111-4998,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,1,0,1,0,12796,1142,5702,,0.6646,,0.3873,0.3639,30400,34100,35800,37500,40100,28700,32300,36500,44000,7094,2,10,88,189,0.504,0.234666667,Main Campus,7250 MESA COLLEGE DR,"Public, 2-year",32.8049,-117.1691,www.sdmesa.edu/
